ConceptA(x),"Predicate(x,y)",ConceptB(y),Probability
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/rw,http://dbpedia.org/ontology/Person,0.000139936
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/notablePlayers,http://dbpedia.org/ontology/Person,0.000180952
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/partners,http://dbpedia.org/ontology/Person,1.69E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/currentSeries,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/topPointScorer,http://dbpedia.org/ontology/Person,4.58E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/voice,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/fourthCommander,http://dbpedia.org/ontology/Person,0.000168889
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/writers,http://dbpedia.org/ontology/Person,2.41E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/campus,http://dbpedia.org/ontology/Person,6.03E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/distribution,http://dbpedia.org/ontology/Person,3.14E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/signatories,http://dbpedia.org/ontology/Person,3.14E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/bowlingCoach,http://dbpedia.org/ontology/Person,1.21E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/member,http://dbpedia.org/ontology/Person,0.000171301
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/leader3Type,http://dbpedia.org/ontology/Person,0.000262984
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/first,http://dbpedia.org/ontology/Person,7.72E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/bishop,http://dbpedia.org/ontology/Person,4.10E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/honoraryPresident,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/shipNamesake,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/allies,http://dbpedia.org/ontology/Person,2.90E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/currentowner,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/academicAffiliation,http://dbpedia.org/ontology/Person,2.17E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/sisterChannels,http://dbpedia.org/ontology/Person,0.000347428
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/bench2Sf,http://dbpedia.org/ontology/Person,3.86E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/influences,http://dbpedia.org/ontology/Person,1.93E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/publisher,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/lam,http://dbpedia.org/ontology/Person,1.21E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/pictureFormat,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/schoolboard,http://dbpedia.org/ontology/Person,3.14E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/obverseDesigner,http://dbpedia.org/ontology/Person,4.34E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/ruckrover,http://dbpedia.org/ontology/Person,6.03E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/narrator,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/chief2name,http://dbpedia.org/ontology/Person,1.93E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/host,http://dbpedia.org/ontology/Person,8.20E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/colour,http://dbpedia.org/ontology/Person,1.93E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/vehiclesInFleet,http://dbpedia.org/ontology/Person,1.69E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/domesticSuppliers,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/odCoach,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/definedby,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/md,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/finalchamp,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/basinCountries,http://dbpedia.org/ontology/Person,1.45E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/printer,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/navy,http://dbpedia.org/ontology/Person,1.45E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/war,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/commerce,http://dbpedia.org/ontology/Person,9.65E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/monarch,http://dbpedia.org/ontology/Person,1.45E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/deputyminister1Pfo,http://dbpedia.org/ontology/Person,9.65E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/secessions,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/round,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/description,http://dbpedia.org/ontology/Person,9.65E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/precursor,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/guests,http://dbpedia.org/ontology/Person,0.000494603
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/governmentType,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/testName,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/opponent,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/anthem,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/broadcastArea,http://dbpedia.org/ontology/Person,9.65E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/trainers,http://dbpedia.org/ontology/Person,9.65E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/chief,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/defendant,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/people,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/mostTriesInAMatch,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/category,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/debuts,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/firstMonarch,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/festivals,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/child5Agency,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/viceCharmain,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/third,http://dbpedia.org/ontology/Person,9.65E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/team2TestsMostWickets,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/person1name,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/beatifiedBy,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/team1TestsMostRuns,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/suboffice,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/seats,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/obverse2Designer,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/child9Agency,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/secondaryHubs,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/commanderName,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/name,http://dbpedia.org/ontology/Person,0.191667029
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/mostTries,http://dbpedia.org/ontology/Person,0.000212317
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/founders,http://dbpedia.org/ontology/Person,0.006678344
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/homehr,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/formerBandMember,http://dbpedia.org/ontology/Person,0.04838663
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/keyPeople,http://dbpedia.org/ontology/Person,0.016879225
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/leader1Name,http://dbpedia.org/ontology/Person,0.004470727
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/lp,http://dbpedia.org/ontology/Person,9.65E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/hqLocationCountry,http://dbpedia.org/ontology/Person,0.003976124
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/owningCompany,http://dbpedia.org/ontology/Person,0.003684188
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/headCoach,http://dbpedia.org/ontology/Person,0.000207492
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/chairman,http://dbpedia.org/ontology/Person,0.002661204
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/coach,http://dbpedia.org/ontology/Person,0.006400884
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/officeholder,http://dbpedia.org/ontology/Person,0.00588698
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/garrison,http://dbpedia.org/ontology/Person,0.000260571
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/patronRomanDivinity,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/succeeded,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/principalLabel,http://dbpedia.org/ontology/Person,1.93E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/numLocations,http://dbpedia.org/ontology/Person,2.90E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/city,http://dbpedia.org/ontology/Person,0.001498285
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/teammanager,http://dbpedia.org/ontology/Person,0.000390857
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/generalmanager,http://dbpedia.org/ontology/Person,0.000279873
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/industry,http://dbpedia.org/ontology/Person,0.000839618
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/patron,http://dbpedia.org/ontology/Person,0.001092952
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/chief3Name,http://dbpedia.org/ontology/Person,0.000320889
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/tour,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/bench1Sg,http://dbpedia.org/ontology/Person,0.000123048
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/calledBy,http://dbpedia.org/ontology/Person,0.000147174
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/team,http://dbpedia.org/ontology/Person,0.000135111
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/topics,http://dbpedia.org/ontology/Person,1.69E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/fields,http://dbpedia.org/ontology/Person,3.14E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/blankData,http://dbpedia.org/ontology/Person,9.89E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/cinematography,http://dbpedia.org/ontology/Person,3.86E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/minister3Name,http://dbpedia.org/ontology/Person,0.000323301
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/child1Agency,http://dbpedia.org/ontology/Person,1.45E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/childOrganisation,http://dbpedia.org/ontology/Person,5.31E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/minister7Name,http://dbpedia.org/ontology/Person,2.65E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/jurisdiction,http://dbpedia.org/ontology/Person,0.001220824
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/motm,http://dbpedia.org/ontology/Person,0.000287111
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/text,http://dbpedia.org/ontology/Person,0.000161651
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/athleticsNickname,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/governor,http://dbpedia.org/ontology/Person,4.83E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/sportingDirector,http://dbpedia.org/ontology/Person,9.65E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/lwb,http://dbpedia.org/ontology/Person,3.38E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/starring,http://dbpedia.org/ontology/Person,0.000166476
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/secGen,http://dbpedia.org/ontology/Person,5.31E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/estate,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/teamname,http://dbpedia.org/ontology/Person,1.69E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/womenscoach,http://dbpedia.org/ontology/Person,3.62E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/formerCoach,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/chief1position,http://dbpedia.org/ontology/Person,3.62E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/creatorsSeries,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/origins,http://dbpedia.org/ontology/Person,1.69E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/nationalAffiliation,http://dbpedia.org/ontology/Person,0.000132698
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/leader6Name,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/child3Agency,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/inaugural,http://dbpedia.org/ontology/Person,0.000101333
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/politicalParty,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/region,http://dbpedia.org/ontology/Person,1.69E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/con,http://dbpedia.org/ontology/Person,0.001698538
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/goals,http://dbpedia.org/ontology/Person,0.00018819
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/ldm,http://dbpedia.org/ontology/Person,5.31E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/clubsRecordGoalscorer,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/rf,http://dbpedia.org/ontology/Person,2.17E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/secretary,http://dbpedia.org/ontology/Person,0.000139936
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/replacedBy,http://dbpedia.org/ontology/Person,5.31E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/testCaptain,http://dbpedia.org/ontology/Person,2.17E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/event,http://dbpedia.org/ontology/Person,0.00046565
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/deputyministerType,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/dedication,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/precededBy,http://dbpedia.org/ontology/Person,9.65E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/aff,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/draftTeam,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/residence,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/aircraftRecon,http://dbpedia.org/ontology/Person,1.45E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/emphasis,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/firstFc,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/person2name,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/chiefTitle,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/mcaption,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/animator,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/eventStart,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/firstchamp,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/emeritusBishops,http://dbpedia.org/ontology/Person,1.45E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/fema,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/settlementType,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/chamber1Leader,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/province,http://dbpedia.org/ontology/Person,1.21E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/with,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/company,http://dbpedia.org/ontology/Person,1.21E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/previousEditor,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/awayscore,http://dbpedia.org/ontology/Person,4.34E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/aircraftInterceptor,http://dbpedia.org/ontology/Person,1.93E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/topTryer,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/commissionHead,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/mostRuns,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/spokenIn,http://dbpedia.org/ontology/Person,1.45E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/states,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/countryOfOrigin,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/legaljuris,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/administrator,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/titleHog,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/introducer,http://dbpedia.org/ontology/Person,7.24E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/constructors,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/renArchitect,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/deity,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/mostwins,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/politicalPosition,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/deputyminister3Name,http://dbpedia.org/ontology/Person,1.93E-05
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/team1Twenty20sMostRuns,http://dbpedia.org/ontology/Person,2.41E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/playerOfOdiSeries,http://dbpedia.org/ontology/Person,4.83E-06
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/property/playerOfTwenty20Series,http://dbpedia.org/ontology/Person,2.41E-06
